 #             q                 psi(q)
          3.6096362762       -0.0028740990
          4.1877879212       -0.0018049097
          4.9161423931       -0.0010266127
          5.8533241967       -0.0004997989
          7.0895048046       -0.0001889119
          8.7691849102       -0.0000462451
         11.1357622291       -0.0000051440
         14.6254008022       -0.0000001339
         20.0840073662       -0.0000000004
         29.3333639346       -0.0000000000
         46.9142405700       -0.0000000000
         86.9309500134       -0.0000000000
        213.3417725702        0.0000000000
       1123.1864616060        0.0000000000
  f( 1.4000000000000012 ) =  1.0 2
  the root of f(x) is : 1.0   at x =  1.4000000000000012
 #             q                 psi(q)
          0.0008903241       -2.5229225472
          0.0046873146       -2.5229924486
          0.0115033829       -2.5183517243
          0.0213154895       -2.5011036492
          0.0340908735       -2.4608667234
          0.0497908600       -2.3867573514
          0.0683741946       -2.2705900706
          0.0898007680       -2.1104291195
          0.1140356841       -1.9126306588
          0.1410535753       -1.6907501486
          0.1708430913       -1.4615699233
          0.2034115207       -1.2404414348
          0.2387895516       -1.0382264415
          0.2770362229       -0.8605840163
          0.3182441709       -0.7089097802
          0.3625453321       -0.5818477586
          0.4101173192       -0.4766473244
          0.4611907577       -0.3901024045
          0.5160579467       -0.3190911723
          0.5750833095       -0.2608309539
          0.6387162255       -0.2129619434
          0.7075070081       -0.1735414052
          0.7821270256       -0.1409983076
          0.8633942859       -0.1140756055
          0.9523062594       -0.0917733969
          1.0500823554       -0.0732983713
          1.1582193864       -0.0580209291
          1.2785646926       -0.0454394432
          1.4134135614       -0.0351503675
          1.5656405148       -0.0268227604
          1.7388784956       -0.0201761209
          1.9377668853       -0.0149612447
          2.1683001735       -0.0109451864
          2.4383266765       -0.0079030914
          2.7582757561       -0.0056204192
          3.1422413712       -0.0039064324
          3.6096362762       -0.0026122753
          4.1877879212       -0.0016397265
          4.9161423931       -0.0009318336
          5.8533241967       -0.0004530239
          7.0895048046       -0.0001708592
          8.7691849102       -0.0000416726
         11.1357622291       -0.0000046018
         14.6254008022       -0.0000001176
         20.0840073662       -0.0000000003
         29.3333639346       -0.0000000000
         46.9142405700       -0.0000000000
         86.9309500134       -0.0000000000
        213.3417725702       -0.0000000000
       1123.1864616060        0.0000000000
  f( 1.8000000000000015 ) =  1.0 2
  the root of f(x) is : 1.0   at x =  1.8000000000000015
 #             q                 psi(q)
          0.0008903241       -2.6106082670
          0.0046873146       -2.6104188583
          0.0115033829       -2.6044545136
          0.0213154895       -2.5834359291
          0.0340908735       -2.5353181181
          0.0497908600       -2.4478936385
          0.0683741946       -2.3128633261
          0.0898007680       -2.1300179658
          0.1140356841       -1.9090107736
          0.1410535753       -1.6669982316
          0.1708430913       -1.4232204669
          0.2034115207       -1.1936922261
          0.2387895516       -0.9884774696
          0.2770362229       -0.8117548484
          0.3182441709       -0.6634157250
          0.3625453321       -0.5409092954
          0.4101173192       -0.4406712916
          0.4611907577       -0.3590050774
          0.5160579467       -0.2925282653
          0.5750833095       -0.2383442335
          0.6387162255       -0.1940648548
          0.7075070081       -0.1577647512
          0.7821270256       -0.1279116313
          0.8633942859       -0.1032946695
          0.9523062594       -0.0829602122
          1.0500823554       -0.0661575931
          1.1582193864       -0.0522948042
          1.2785646926       -0.0409025288
          1.4134135614       -0.0316047008
          1.5656405148       -0.0240938776
          1.7388784956       -0.0181101759
          1.9377668853       -0.0134233655
          2.1683001735       -0.0098190287
          2.4383266765       -0.0070912198
          2.7582757561       -0.0050446691
          3.1422413712       -0.0035070557
          3.6096362762       -0.0023450047
          4.1877879212       -0.0014712151
          4.9161423931       -0.0008352664
          5.8533241967       -0.0004054616
          7.0895048046       -0.0001525597
          8.7691849102       -0.0000370614
         11.1357622291       -0.0000040604
         14.6254008022       -0.0000001016
         20.0840073662       -0.0000000003
         29.3333639346       -0.0000000000
         46.9142405700       -0.0000000000
         86.9309500134       -0.0000000000
        213.3417725702        0.0000000000
       1123.1864616060        0.0000000000
  f( 2.200000000000002 ) =  1.0 2
  the root of f(x) is : 1.0   at x =  2.200000000000002
 #             q                 psi(q)
          0.0008903241       -2.7154254861
          0.0046873146       -2.7148779206
          0.0115033829       -2.7070865395
          0.0213154895       -2.6808803518
          0.0340908735       -2.6220038886
          0.0497908600       -2.5166690502
          0.0683741946       -2.3568725422
          0.0898007680       -2.1452830528
          0.1140356841       -1.8962553382
          0.1410535753       -1.6314433694
          0.1708430913       -1.3725547595
          0.2034115207       -1.1356337539
          0.2387895516       -0.9291662171
          0.2770362229       -0.7552581420
          0.3182441709       -0.6119713673
          0.3625453321       -0.4954389193
          0.4101173192       -0.4012759526
          0.4611907577       -0.3253368967
          0.5160579467       -0.2640325671
          0.5750833095       -0.2144021733
          0.6387162255       -0.1740698733
          0.7075070081       -0.1411587888
          0.7821270256       -0.1141984971
          0.8633942859       -0.0920412963
          0.9523062594       -0.0737920552
          1.0500823554       -0.0587516625
          1.1582193864       -0.0463722000
          1.2785646926       -0.0362214441
          1.4134135614       -0.0279543829
          1.5656405148       -0.0212898090
          1.7388784956       -0.0159906246
          1.9377668853       -0.0118473644
          2.1683001735       -0.0086656733
          2.4383266765       -0.0062598390
          2.7582757561       -0.0044549522
          3.1422413712       -0.0030978951
          3.6096362762       -0.0020712196
          4.1877879212       -0.0012987180
          4.9161423931       -0.0007365516
          5.8533241967       -0.0003569479
          7.0895048046       -0.0001339576
          8.7691849102       -0.0000324004
         11.1357622291       -0.0000035190
         14.6254008022       -0.0000000861
         20.0840073662       -0.0000000002
         29.3333639346       -0.0000000000
         46.9142405700       -0.0000000000
         86.9309500134       -0.0000000000
        213.3417725702       -0.0000000000
       1123.1864616060        0.0000000000
  f( 2.6000000000000023 ) =  1.0 2
  the root of f(x) is : 1.0   at x =  2.6000000000000023
 #             q                 psi(q)
          0.0008903241        2.8445676890
          0.0046873146        2.8434979229
          0.0115033829        2.8330439906
          0.0213154895        2.7993107468
          0.0340908735        2.7249880198
          0.0497908600        2.5944489279
          0.0683741946        2.4009158183
          0.0898007680        2.1519815997
          0.1140356841        1.8688159224
          0.1410535753        1.5785349694
          0.1708430913        1.3048566465
          0.2034115207        1.0626564666
          0.2387895516        0.8576970301
          0.2770362229        0.6892840074
          0.3182441709        0.5533251001
          0.3625453321        0.4445654631
          0.4101173192        0.3578459308
          0.4611907577        0.2886552533
          0.5160579467        0.2332799666
          0.5750833095        0.1887636577
          0.6387162255        0.1527953519
          0.7075070081        0.1235854294
          0.7821270256        0.0997533514
          0.8633942859        0.0802346284
          0.9523062594        0.0642070432
          1.0500823554        0.0510333894
          1.1582193864        0.0402173401
          1.2785646926        0.0313692648
          1.4134135614        0.0241793120
          1.5656405148        0.0183956546
          1.7388784956        0.0138064782
          1.9377668853        0.0102251531
          2.1683001735        0.0074791660
          2.4383266765        0.0054045755
          2.7582757561        0.0038480946
          3.1422413712        0.0026767150
          3.6096362762        0.0017894270
          4.1877879212        0.0011213155
          4.9161423931        0.0006351854
          5.8533241967        0.0003072525
          7.0895048046        0.0001149743
          8.7691849102        0.0000276738
         11.1357622291        0.0000029766
         14.6254008022        0.0000000709
         20.0840073662        0.0000000002
         29.3333639346        0.0000000000
         46.9142405700        0.0000000000
         86.9309500134        0.0000000000
        213.3417725702        0.0000000000
       1123.1864616060        0.0000000000
  f( 3.0000000000000017 ) =  1.0 2
  the root of f(x) is : 1.0   at x =  3.0000000000000017
